"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"RcppZiggurat","RcppZiggurat","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.6",NA,"R (>= 3.0.0)","Rcpp, parallel, graphics, stats, utils","Rcpp, RcppGSL","rbenchmark, microbenchmark, lattice, knitr, rmarkdown, pinp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"RCurl","RCurl","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.98-1.5",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"Rdpack","Rdpack","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.1.4",NA,"R (>= 2.15.0), methods","tools, utils, rbibutils (>= 1.3)",NA,"grDevices, testthat, rstudioapi, rprojroot, gbRd",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"reactlog","reactlog","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.0",NA,"R (>= 3.0.2)","jsonlite (>= 0.9.16),",NA,"shiny (>= 1.5.0), knitr, rmarkdown, htmltools, testthat",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"readbitmap","readbitmap","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.5",NA,NA,"bmp, jpeg, png, tiff",NA,"pixmap, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"readr","readr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0.2",NA,"R (>= 3.1)","cli, clipr, crayon, hms (>= 0.4.1), methods, rlang, R6,
tibble, vroom (>= 1.5.4), utils, lifecycle (>= 0.2.0)","cpp11, tzdb (>= 0.1.1)","covr, curl, dplyr, knitr, rmarkdown, spelling, stringi,
testthat, tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"readxl","readxl","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.3.1",NA,NA,"cellranger, Rcpp (>= 0.12.18), tibble (>= 1.3.1), utils","progress, Rcpp","covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"recipes","recipes","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.17",NA,"dplyr, R (>= 3.1)","ellipsis, generics (>= 0.1.0), glue, gower, ipred (>= 0.9-12),
lifecycle, lubridate, magrittr, Matrix, purrr (>= 0.2.3), rlang
(>= 0.4.0), stats, tibble, tidyr (>= 1.0.0), tidyselect (>=
1.1.0), timeDate, utils, vctrs, withr",NA,"covr, ddalpha, dimRed (>= 0.2.2), fastICA, ggplot2, igraph,
kernlab, knitr, modeldata, parsnip (>= 0.1.7), RANN, RcppRoll,
rmarkdown, rpart, rsample, RSpectra, testthat (>= 3.0.0),
workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"rematch","rematch","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"rematch2","rematch2","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"remotes","remotes","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.4.1",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"reprex","reprex","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0.1",NA,"R (>= 3.3)","callr (>= 3.6.0), cli (>= 2.3.1), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), rlang (>= 0.4.0), rmarkdown, rstudioapi,
utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"reshape","reshape","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.8.8",NA,"R (>= 2.6.1)","plyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"reshape2","reshape2","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"revtools","revtools","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4.1.9999",NA,"R (>= 3.5.0)","ade4, modeltools, ngram, plotly, slam, shiny, shinydashboard,
SnowballC, stringdist, tm, topicmodels, viridisLite",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"rex","rex","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.0",NA,NA,"lazyeval",NA,"testthat, knitr, rmarkdown, dplyr, ggplot2, magrittr, Hmisc,
stringr, rvest, roxygen2, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"Rfast","Rfast","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0.3",NA,"R (>= 3.5.0), Rcpp (>= 0.12.3), RcppZiggurat",NA,"Rcpp (>= 0.12.3), RcppArmadillo",NA,NA,"GPL (>= 2.0)",NA,NA,NA,NA,"yes","4.0.3"
"Rfast2","Rfast2","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.3",NA,"R (>= 3.5.0), Rcpp (>= 0.12.3)","Rfast, RANN","Rcpp (>= 0.12.3), RcppArmadillo",NA,NA,"GPL (>= 2.0)",NA,NA,NA,NA,"yes","4.0.3"
"rgdal","rgdal","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.5-27",NA,"R (>= 3.5.0), methods, sp (>= 1.1-0)","grDevices, graphics, stats, utils","sp","knitr, DBI, RSQLite, maptools, mapview, rmarkdown, curl,
rgeos",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"rgeos","rgeos","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.5-8",NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","utils, stats, graphics","sp","maptools (>= 0.8-5), testthat, XML, maps, rgdal",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"rgl","rgl","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.108.3.2",NA,"R (>= 3.3.0)","graphics, grDevices, stats, utils, htmlwidgets, htmltools,
knitr (>= 1.33), jsonlite (>= 0.9.20), magrittr, R6",NA,"MASS, rmarkdown, deldir (>= 1.0-4), orientlib, lattice,
misc3d, magick, plotrix (>= 3.7-3), tripack, interp,
alphashape3d, tcltk, js (>= 1.2), akima, webshot2, downlit (>=
0.4.0), pkgdown, extrafont, shiny, manipulateWidget (>= 0.9.0),
testthat, markdown, crosstalk","waldo","GPL",NA,NA,NA,NA,"yes","4.0.3"
"RhpcBLASctl","RhpcBLASctl","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.21-247.1",NA,NA,NA,NA,NA,NA,"AGPL-3",NA,NA,NA,NA,"yes","4.0.3"
"rhub","rhub","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.1",NA,NA,"assertthat, callr, cli (>= 1.1.0), crayon, desc, digest, httr,
jsonlite, parsedate, pillar, prettyunits, processx, R6,
rappdirs, rcmdcheck (>= 1.2.1), rematch, tibble, utils, uuid,
whoami, withr",NA,"covr, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"rio","rio","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.5.27",NA,"R (>= 2.15.0)","tools, stats, utils, foreign, haven (>= 1.1.2), curl (>= 0.6),
data.table (>= 1.9.8), readxl (>= 0.1.1), openxlsx, tibble",NA,"datasets, bit64, testthat, knitr, magrittr, arrow, clipr,
feather, fst, hexView, jsonlite, pzfx, readODS (>= 1.6.4),
readr, rmarkdown, rmatio, xml2 (>= 1.2.0), yaml",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"rjags","rjags","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","4-11",NA,"R (>= 2.14.0), coda (>= 0.13)",NA,NA,"tcltk",NA,"GPL (== 2)",NA,NA,NA,NA,"yes","4.0.3"
"rJava","rJava","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0-5",NA,"R (>= 3.6.0), methods",NA,NA,NA,NA,"LGPL-2.1",NA,NA,NA,NA,"yes","4.0.3"
"RJDBC","RJDBC","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2-8",NA,"methods, DBI, rJava (>= 0.4-15), R (>= 2.4.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"rlang","rlang","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4.11",NA,"R (>= 3.3.0)","utils",NA,"cli, covr, crayon, glue, magrittr, methods, pak, pillar,
rmarkdown, testthat (>= 3.0.0), vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"rmapshaper","rmapshaper","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4.5",NA,NA,"geojsonio (>= 0.9.4), geojsonlint (>= 0.4.0), jsonlite (>=
1.7.0), methods, readr (>= 1.4.0), sf (>= 0.9-0), sp (>=
1.4-0), V8 (>= 3.4.2)",NA,"knitr, magrittr, rgdal, rgeos, rmarkdown, testthat (>=
2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"rmarkdown","rmarkdown","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.11",NA,"R (>= 3.0)","tools, utils, knitr (>= 1.22), yaml (>= 2.1.19), htmltools (>=
0.3.5), evaluate (>= 0.13), jsonlite, tinytex (>= 0.31), xfun
(>= 0.21), jquerylib, methods, stringr (>= 1.2.0)",NA,"shiny (>= 1.6.0), tufte, testthat (>= 3.0.0), digest,
dygraphs, vctrs, tibble, fs, rsconnect, withr (>= 2.4.2), bslib
(>= 0.2.5.1), sass (>= 0.4.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"rmio","rmio","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4.0",NA,NA,"bigassertr, ff",NA,"testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"rnaturalearth","rnaturalearth","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.0",NA,"R (>= 3.1.1)","sp (>= 1.0.15), utils (>= 3.2.3), sf (>= 0.3-4)",NA,"rgdal, knitr (>= 1.12.3), testthat (>= 0.9.1), httr (>=
1.1.0), devtools (>= 1.10.0), rnaturalearthdata (>= 0.1.0),
rnaturalearthhires (>= 0.1.0), raster (>= 2.5-2), rgeos",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"rngtools","rngtools","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.5.2",NA,"R (>= 3.2.0), methods","digest, utils, stats, parallel",NA,"covr, RUnit, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"robustbase","robustbase","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.93-9",NA,"R (>= 3.5.0)","stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt","robustX, rrcov, matrixStats, quantreg, Hmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"roxygen2","roxygen2","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","7.1.2",NA,"R (>= 3.3)","brew, commonmark, desc (>= 1.2.0), digest, knitr, methods,
pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2), rlang,
stringi, stringr (>= 1.0.0), utils, xml2","cpp11","covr, devtools, rmarkdown, testthat (>= 2.1.0), R.methodsS3,
R.oo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"rprojroot","rprojroot","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0.2",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"rsconnect","rsconnect","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.8.24",NA,"R (>= 3.0.0)","curl, digest, jsonlite, openssl, packrat (>= 0.6), rstudioapi
(>= 0.5), yaml (>= 2.1.5)",NA,"RCurl, callr, httpuv, knitr, plumber (>= 0.3.2), reticulate,
rmarkdown (>= 1.1), shiny, sourcetools, testthat, xtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"RSpectra","RSpectra","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.16-1",NA,"R (>= 3.0.2)","Matrix (>= 1.1-0), Rcpp (>= 0.11.5)","Rcpp, RcppEigen (>= 0.3.3.3.0)","knitr, rmarkdown, prettydoc",NA,"MPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"rstan","rstan","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.21.2",NA,"R (>= 3.4.0), StanHeaders (>= 2.21.0), ggplot2 (>= 3.0.0)","methods, stats4, inline, gridExtra (>= 2.0.0), Rcpp (>=
0.12.0), RcppParallel (>= 5.0.1), loo (>= 2.3.0), pkgbuild,
withr, V8","Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0), BH (>=
1.72.0-2), StanHeaders (>= 2.21.0), RcppParallel","RUnit, RcppEigen (>= 0.3.3.3.0), BH (>= 1.72.0-2), parallel,
KernSmooth, shinystan (>= 2.3.0), bayesplot (>= 1.5.0),
rmarkdown, rstantools, rstudioapi, Matrix, knitr (>= 1.15.1)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"rstantools","rstantools","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.1.1",NA,NA,"desc, stats, utils, Rcpp (>= 0.12.16), RcppParallel (>= 5.0.1)",NA,"rstan (>= 2.17.2), usethis (>= 1.5.1), testthat (>= 2.0.0),
knitr, pkgbuild, pkgload, roxygen2 (>= 6.0.1), rmarkdown,
rstudioapi",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"rstudioapi","rstudioapi","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.13",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"rsvg","rsvg","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.1.2",NA,NA,NA,NA,"spelling, svglite, magick, webp, ggplot2, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"runjags","runjags","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.2.0-2",NA,"R (>= 2.14.0)","parallel, lattice (>= 0.20-10), coda (>= 0.17-1), stats, utils",NA,"rjags (>= 4-7), modeest, testthat (>= 3.0.0), knitr,
markdown, spelling",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"rversions","rversions","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.1.1",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"rvest","rvest","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.1",NA,"R (>= 3.2)","httr (>= 0.5), lifecycle (>= 1.0.0), magrittr, rlang (>=
0.4.10), selectr, tibble, xml2 (>= 1.3)",NA,"covr, glue, knitr, readr, rmarkdown, repurrrsive, spelling,
stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"s2","s2","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.7",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.5.0)","Rcpp, wk","testthat, vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.0.3"
"sandwich","sandwich","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.0-1",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.3"
"sass","sass","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4.0",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"satellite","satellite","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.4",NA,"R (>= 2.10), raster, methods, utils, stats, grDevices,
graphics","plyr, Rcpp (>= 0.10.3), terra, tools, stats4","Rcpp","devtools, knitr, rgdal, testthat, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"scales","scales","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), testthat (>=
2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"selectr","selectr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.0.2"
"servr","servr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.23",NA,"R (>= 3.0.0)","mime (>= 0.2), httpuv (>= 1.5.2), xfun, jsonlite",NA,"tools, later, rstudioapi, knitr (>= 1.9), rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","4.0.3"
"sessioninfo","sessioninfo","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.1",NA,NA,"cli, tools, utils, withr",NA,"callr, covr, mockery, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"sf","sf","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0-3",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.0.7), stats, tools, units
(>= 0.6-0), utils","Rcpp","blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, Matrix, microbenchmark, odbc, pillar,
pool, raster, rgdal, rgeos, rlang, rmarkdown, RPostgres (>=
1.1.0), RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat (>=
2.0-1), spatstat.geom, spatstat.core, spatstat.linnet,
spatstat.utils, stars (>= 0.2-0), terra, testthat, tibble (>=
1.4.1), tidyr (>= 1.0-0), tidyselect (>= 1.0.0), tmap (>= 2.0),
vctrs, wk",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"sfbiodiversityapp","sfbiodiversityapp","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.11",NA,"shiny,
rmarkdown,
ggplot2,
plotly","msod,
sf,
ggbeeswarm,
shinyWidgets,
sf,
httr,
geojsonsf,
readr,
shinyjs,
waiter",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.3"
"sfheaders","sfheaders","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4.0",NA,NA,"geometries (>= 0.2.0), Rcpp","geometries, Rcpp","covr, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"sflddata","sflddata","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.0-2",NA,NA,"maptools,
raster,
lubridate,
readxl,
testthat,
dplyr,
ncdf4",NA,"arrangements,
Rfast,
sf,
parallel,
runjags,
ggplot2,
car,
odbc,
sp,
corrplot",NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.3"
"sfsmisc","sfsmisc","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1-12",NA,"R (>= 3.3.0)","grDevices, methods, utils, stats, tools",NA,"datasets, tcltk, cluster, lattice, MASS, Matrix, nlme, lokern","mgcv, rpart, nor1mix, polycor, sm, tikzDevice, e1071, Hmisc,
gmp, pastecs, polynom, robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"sgeostat","sgeostat","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0-27",NA,"stats, grDevices, graphics, R (>= 2.0.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"shape","shape","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.4.6",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"shiny","shiny","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.7.1",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.2.1), htmltools (>=
0.5.2), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.1.0), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.0), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.3.0), cachem, ellipsis, lifecycle (>= 0.2.0)",NA,"datasets, Cairo (>= 1.5-5), testthat (>= 3.0.0), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, shinytest (>= 1.4.0.9003), yaml, future, dygraphs,
ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"shinyBS","shinyBS","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.61",NA,NA,"shiny (>= 0.11), htmltools",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"shinydashboard","shinydashboard","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.7.2",NA,"R (>= 3.0)","utils, shiny (>= 1.0.0), htmltools (>= 0.2.6), promises",NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"shinyjs","shinyjs","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), htmltools (>= 0.2.9), jsonlite, shiny (>=
1.0.0)",NA,"knitr (>= 1.7), rmarkdown, shinyAce, shinydisconnect,
testthat (>= 0.9.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"shinystan","shinystan","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.5.0",NA,"R (>= 3.1.0), shiny (>= 1.0.3)","bayesplot (>= 1.5.0), colourpicker, DT (>= 0.2), dygraphs (>=
1.1.1.2), ggplot2 (>= 2.1.1), gridExtra, gtools, markdown (>=
0.7.4), methods, reshape2, rsconnect (>= 0.4.2), rstan (>=
2.17.1), stats, shinyjs (>= 0.6.0), shinythemes (>= 1.0.1),
threejs (>= 0.2.1), utils, xtable, xts (>= 0.9-7)",NA,"coda, knitr (>= 1.9), rmarkdown (>= 0.8.1), rstanarm (>=
2.17.4), testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"shinytest","shinytest","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.5.1",NA,NA,"assertthat, callr (>= 2.0.3), crayon, debugme, digest,
htmlwidgets, httpuv, httr, jsonlite, parsedate, pingr, R6,
rematch, rlang, rstudioapi (>= 0.8.0.9002), shiny (>= 1.3.2),
testthat (>= 1.0.0), utils, webdriver (>= 1.0.6), withr",NA,"flexdashboard, globals, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"shinythemes","shinythemes","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.0",NA,"R (>= 3.0.0)","shiny (>= 0.11)",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"shinyWidgets","shinyWidgets","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.6.2",NA,"R (>= 3.1.0)","bslib, sass, shiny (>= 0.14), htmltools, jsonlite, grDevices",NA,"shinydashboard, testthat, covr, shinydashboardPlus (>=
2.0.0), bs4Dash, argonR, argonDash, tablerDash, ggplot2, DT,
scales",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"showimage","showimage","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.0",NA,NA,"png, tools",NA,"covr, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.3"
"sirt","sirt","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.11-21",NA,"R (>= 3.5.0)","CDM, graphics, methods, Rcpp, stats, TAM, utils","pbv, Rcpp, RcppArmadillo","coda, igraph, lavaan, lavaan.survey, MASS, Matrix, miceadds,
mirt, mvtnorm, pbivnorm, pbv, psych, sfsmisc, sm, survey","immer","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"skmeans","skmeans","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2-14",NA,NA,"slam (>= 0.1-31), clue (>= 0.3-39), cluster, stats, utils",NA,NA,"Matrix, kmndirs","GPL-2",NA,NA,NA,NA,"no","4.0.3"
"slam","slam","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1-48",NA,"R (>= 3.4.0)","stats",NA,NA,"Matrix, SparseM, spam","GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"slga","slga","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.0",NA,"R (>= 2.10)","httr, methods, raster, s2, sf (>= 1.0), utils, xml2",NA,"covr, knitr, pkgdown, rgdal, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"slider","slider","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2.2",NA,"R (>= 3.3.0)","ellipsis (>= 0.3.1), glue, rlang (>= 0.4.5), vctrs (>= 0.3.6),
warp","vctrs (>= 0.3.6)","covr, dplyr (>= 1.0.0), knitr, lubridate, rmarkdown, testthat
(>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"SnowballC","SnowballC","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.7.0",NA,NA,NA,NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
